Total hosts (including soft deleted): 296
--- DUPLICATES FOUND ---
DUPLICATE GROUP: mid:2-hostid:10777 count: 37
  -> Host: ID=131, Name=Export_AR1, MID=2, HostID=10771, DeletedAt={2026-02-28 14:19:37.703 +0800 CST true}
  -> Host: ID=139, Name=Export_AR1, MID=2, HostID=10771, DeletedAt={2026-02-28 14:19:37.472 +0800 CST true}
  -> Host: ID=147, Name=Export_AR1, MID=2, HostID=10771, DeletedAt={2026-02-28 14:19:37.334 +0800 CST true}
  -> Host: ID=155, Name=Export_AR1, MID=2, HostID=10771, DeletedAt={2026-02-28 14:19:37.211 +0800 CST true}
  -> Host: ID=163, Name=Export_AR1, MID=2, HostID=10771, DeletedAt={2026-02-28 14:19:37.118 +0800 CST true}
  -> Host: ID=171, Name=Export_AR1, MID=2, HostID=10771, DeletedAt={2026-02-28 14:19:36.863 +0800 CST true}
  -> Host: ID=179, Name=Export_AR1, MID=2, HostID=10771, DeletedAt={2026-02-28 14:19:36.746 +0800 CST true}
  -> Host: ID=187, Name=Export_AR1, MID=2, HostID=10771, DeletedAt={2026-02-28 14:19:36.626 +0800 CST true}
  -> Host: ID=195, Name=Export_AR1, MID=2, HostID=10771, DeletedAt={2026-02-28 14:19:36.49 +0800 CST true}
  -> Host: ID=203, Name=Export_AR1, MID=2, HostID=10771, DeletedAt={2026-02-28 14:19:36.367 +0800 CST true}
  -> Host: ID=211, Name=Export_AR1, MID=2, HostID=10771, DeletedAt={2026-02-28 14:30:11.158 +0800 CST true}
  -> Host: ID=219, Name=Export_AR1, MID=2, HostID=10771, DeletedAt={2026-02-28 14:30:11.042 +0800 CST true}
  -> Host: ID=227, Name=Export_AR1, MID=2, HostID=10771, DeletedAt={2026-02-28 14:30:10.913 +0800 CST true}
  -> Host: ID=235, Name=Export_AR1, MID=2, HostID=10771, DeletedAt={2026-02-28 14:30:10.633 +0800 CST true}
  -> Host: ID=243, Name=Export_AR1, MID=2, HostID=10771, DeletedAt={2026-02-28 14:30:10.454 +0800 CST true}
  -> Host: ID=251, Name=Export_AR1, MID=2, HostID=10771, DeletedAt={2026-02-28 14:30:10.349 +0800 CST true}
  -> Host: ID=259, Name=Export_AR1, MID=2, HostID=10771, DeletedAt={2026-02-28 14:30:10.215 +0800 CST true}
  -> Host: ID=267, Name=Export_AR1, MID=2, HostID=10771, DeletedAt={2026-02-28 14:30:10.098 +0800 CST true}
  -> Host: ID=275, Name=Export_AR1, MID=2, HostID=10771, DeletedAt={0001-01-01 00:00:00 +0000 UTC false}
  -> Host: ID=283, Name=Export_AR1, MID=2, HostID=10771, DeletedAt={0001-01-01 00:00:00 +0000 UTC false}
  -> Host: ID=291, Name=Export_AR1, MID=2, HostID=10771, DeletedAt={0001-01-01 00:00:00 +0000 UTC false}
DUPLICATE GROUP: mid:2-hostid:10776 count: 37
  -> Host: ID=5, Name=AGG1, MID=2, HostID=10776, DeletedAt={2026-02-28 13:55:30.618 +0800 CST true}
  -> Host: ID=13, Name=AGG1, MID=2, HostID=10776, DeletedAt={2026-02-28 13:55:30.519 +0800 CST true}
  -> Host: ID=21, Name=AGG1, MID=2, HostID=10776, DeletedAt={2026-02-28 13:55:30.447 +0800 CST true}
  -> Host: ID=29, Name=AGG1, MID=2, HostID=10776, DeletedAt={2026-02-28 13:55:30.364 +0800 CST true}
